run,method,unsupported_claim_rate,abstention_rate,no_new_evidence_call_rate
layer1_api_balanced300_bm25_scoped_prompt_v3_all_methods,fixed_k,0,0,1
layer1_api_balanced300_bm25_scoped_prompt_v3_all_methods,naive,0,0,0
layer1_api_balanced300_bm25_scoped_prompt_v3_all_methods,ours,0,0.67,0.67
layer1_api_balanced300_bm25_scoped_prompt_v3_all_methods,prompt_verifier,0,0.67,0
layer1_api_balanced300_bm25_scoped_prompt_v3_all_methods,self_stop,0,0,0
layer1_api_balanced300_dense_bge_rerank_subset2_scoped_prompt_v3_all_methods,fixed_k,0,0,1
layer1_api_balanced300_dense_bge_rerank_subset2_scoped_prompt_v3_all_methods,naive,0,0,0
layer1_api_balanced300_dense_bge_rerank_subset2_scoped_prompt_v3_all_methods,ours,0,0.5,0.5
layer1_api_balanced300_dense_bge_rerank_subset2_scoped_prompt_v3_all_methods,prompt_verifier,0,0.5,0
layer1_api_balanced300_dense_bge_rerank_subset2_scoped_prompt_v3_all_methods,self_stop,0,0,0
layer1_api_balanced300_dense_bge_scoped_prompt_v3_all_methods,fixed_k,0,0,1
layer1_api_balanced300_dense_bge_scoped_prompt_v3_all_methods,naive,0,0,0
layer1_api_balanced300_dense_bge_scoped_prompt_v3_all_methods,ours,0,0.44333333333333336,0.44333333333333336
layer1_api_balanced300_dense_bge_scoped_prompt_v3_all_methods,prompt_verifier,0,0.44333333333333336,0
layer1_api_balanced300_dense_bge_scoped_prompt_v3_all_methods,self_stop,0,0,0
layer1_api_balanced300_dense_scoped_prompt_v3_all_methods,fixed_k,0,0,1
layer1_api_balanced300_dense_scoped_prompt_v3_all_methods,naive,0,0,0
layer1_api_balanced300_dense_scoped_prompt_v3_all_methods,ours,0,0.9066666666666666,0.9066666666666666
layer1_api_balanced300_dense_scoped_prompt_v3_all_methods,prompt_verifier,0,0.9066666666666666,0
layer1_api_balanced300_dense_scoped_prompt_v3_all_methods,self_stop,0,0,0
offline_bm25_smoke_all_methods,fixed_k,0,0,1
offline_bm25_smoke_all_methods,naive,0,0,0
offline_bm25_smoke_all_methods,ours,0,0.25,0.25
offline_bm25_smoke_all_methods,prompt_verifier,0,0.25,0
offline_bm25_smoke_all_methods,self_stop,0,0,0
offline_dense_bge_rerank_smoke_all_methods,fixed_k,0,0,1
offline_dense_bge_rerank_smoke_all_methods,naive,0,0,0
offline_dense_bge_rerank_smoke_all_methods,ours,0,0.25,0.25
offline_dense_bge_rerank_smoke_all_methods,prompt_verifier,0,0.25,0
offline_dense_bge_rerank_smoke_all_methods,self_stop,0,0,0
